,smiles,LogLD
0,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)n1,2.957682227
1,Cc1cc(O)cc(C)c1Cl,1.611626262
2,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,1.924011387
3,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,2.532970595
4,COC(=O)C=Cc1ccccc1,1.793378211
5,CC(C)NCC(O)c1ccc2ccccc2c1,2.406205105
6,COc1ccc2c(c1)OC(C)(C)C(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,2.116431258
7,N#CC1OC1C#N,2.575524985
8,CC(=O)OCC=C(C)CCC=C(C)C,1.491494465
9,COc1cc(C=CC(=S)N2CCOCC2)cc(OC)c1OC,2.379425047
10,CCC1(C2OC(C3OC(O)(CO)C(C)CC3C)CC2C)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(OC)C(C)C(=O)O)O3)O2)O1,3.826645492
11,CN(CCCl)CCCl,4.193280471
12,C[N+]1(CC[N+]2(C)CC3C4C=CC(CC4)C3C2)CCCC1,2.184927125
13,CC(C)(Oc1ccccc1)C(=O)OCCN1CCOCC1,1.568680157
14,CC(=O)OCCCc1ccccc1,1.578885386
15,O=C(NNCS(=O)(=O)O)c1ccncc1,1.364006386
16,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,1.462881443
17,CCCOP(=S)(OCCC)OP(=S)(OCCC)OCCC,2.924776487
18,CCC(C)(O)CC,2.158094799
19,Fc1ccc(Br)cc1,1.811674285
20,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,2.501247468
21,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,3.051405371
22,N#CCCCCC#N,2.553995486
23,CCC(C(=O)C(C)C(O)C(C)CCc1ccc(C)c(O)c1C(=O)O)C1OC(CC)(C2CCC(O)(CC)C(C)O2)CC1C,3.685079186
24,CC(=O)CCc1c(OC(=O)c2ccccc2)n(-c2ccccc2)n(-c2ccccc2)c1=O,2.264589774
25,O=NN1CCCCCC1,2.581464049
26,CN(C)C1CSSC1,2.550763973
27,COc1c2ccoc2cc2oc(COC3OC(CO)C(O)C(O)C3O)cc(=O)c12,2.444020336
28,CCOP(=S)(CC)Sc1ccc(C)cc1,3.752823103
29,C(=NC(N=Cc1ccco1)c1ccco1)c1ccco1,2.826515356
30,CCCC(CCC)C(=O)O,2.33293262
31,CC(=O)OC1CCC(N2CCCCC2)CC1,2.06278826
32,CCCCCCCCCCCC[N+](CCO)(CCO)Cc1ccccc1,2.686748254
33,CNN,3.151563131
34,C=CCC1(CCSCCCC)C(=O)N=C(S)NC1=O,2.315505149
35,Oc1cc(O)cc(Sc2cc(O)cc(O)c2)c1,1.765960178
36,N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1,3.128920013
37,CCCCNC1CCCCC1,2.672615567
38,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.68613705
39,CC(C)CCI,2.143258279
40,CC(C)NCC(O)c1ccc(O)c(O)c1,2.774590978
41,O=S(=O)(O)c1ccc2ccccc2c1,1.318516557
42,CC(N)CC(C)(C)N,2.430758757
43,C=CCN(CC=C)c1ccc(OC(=O)NC)cc1,3.452962319
44,CC(C)c1ccc(CO)cc1,2.168130477
45,CS(=O)(=O)Cl,2.747252606
46,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1.720504866
47,COc1ccc(N)cc1OC,2.352057788
48,CCN(CC)c1ccc(C=O)cc1,1.442398919
49,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1CC2,2.832378699
