,CASRN,LogLD,smiles
0,100-00-5,2.71921287,C1=CC(=CC=C1[N+](=O)[O-])Cl
1,100-02-7,2.285557309,C1=CC(=CC=C1[N+](=O)[O-])O
2,100-14-1,3.257438567,C1=CC(=CC=C1CCl)[N+](=O)[O-]
3,100-15-2,3.301029996,CNC1=CC=C(C=C1)[N+](=O)[O-]
4,100-17-4,3.361727836,COC1=CC=C(C=C1)[N+](=O)[O-]
5,100-18-5,3.505149978,CC(C)C1=CC=C(C=C1)C(C)C
6,100-20-9,3.397940009,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl
7,100-21-0,3.978089173,C1=CC(=CC=C1C(=O)O)C(=O)O
8,100-28-7,3.204119983,C1=CC(=CC=C1N=C=O)[N+](=O)[O-]
9,100-29-8,3.51851394,CCOC1=CC=C(C=C1)[N+](=O)[O-]
10,100-40-3,3.542534971,C=CC1CCC=CC1
11,100-42-5,3.459894853,C=CC1=CC=CC=C1
12,100-44-7,2.941449315,C1=CC=C(C=C1)CCl
13,100-45-8,2.662757832,N#CC1CCC=CC1
14,100-51-6,3.269512944,C1=CC=C(C=C1)CO
15,100-52-7,3.135132651,C1=CC=C(C=C1)C=O
16,100-53-8,2.692846919,C1=CC=C(C=C1)CS
17,100-54-9,3.07371835,C1=CC(=CN=C1)C#N
18,100-61-8,2.874481818,CNC1=CC=CC=C1
19,100-63-0,2.274157849,C1=CC=C(C=C1)NN
20,100-65-2,2.0,C1=CC=C(C=C1)NO
21,100-66-3,3.568201724,COC1=CC=CC=C1
22,100-68-5,3.02680555,CSC1=CC=CC=C1
23,100-69-6,2.124938736,C=CC1=CC=CC=N1
24,100-73-2,3.691965103,C1CC(OC=C1)C=O
25,100-86-7,3.10720997,CC(C)(CC1=CC=CC=C1)O
26,100-87-8,3.0,C1=CC=C(C=C1)CS(=O)(=O)O
27,100-89-0,3.674309889,B1(OC(CC(O1)(C)C)C)OC(C)CC(C)(C)OB2OC(CC(O2)(C)C)C
28,100-95-8,2.0,CCCCCCCCCCCCNC(=O)C[N+](C)(C)CC1=CC=CC=C1.[Cl-]
29,10004-44-1,3.493039588,CC1=CC(=O)NO1
30,100093-45-6,4.0,COC1=C(C=C(C=C1)C=C(C(=O)NC2=CC=CC=C2C(=O)O)C(=O)NC3=CC=CC=C3C(=O)O)OC
31,10017-11-5,2.176091259,C=CCN.Cl
32,10018-78-7,3.812913357,C1CCC(CC1)OC(=O)CCC(=O)O
33,100199-60-8,3.686636269,C1=CC(=CC=C1CO)OCCN2C=CN=C2
34,100217-51-4,3.903089987,CCC(CC)NC1=NN=C(C2=CC=CC=C21)C3=CC=CC=C3
35,100237-68-1,3.903089987,CC(C)(C)CNC1=NN=C(C2=CC=CC=C21)C3=CC=CC=C3
36,10024-70-1,3.481442629,CC(CC(=O)O)OC
37,10029-04-6,2.792391689,CCOC(=O)C(=C)CO
38,100299-08-9,2.836956737,CC1=CC=CN2C1=NC=C(C2=O)C3=NN=N[N-]3.[K+]
39,1003-40-3,1.505149978,C1=CN=CC=C1N.Cl
40,1003-52-7,2.866287339,CC1=C(OC=N1)C#N
41,10031-58-0,2.73239376,CCC1=C[N+](=C(C=C1)C)C(C)CCC(C)(C)CC(C)(C)C.[Cl-]
42,10031-96-6,3.531478917,COC1=C(C=CC(=C1)CC=C)OC=O
43,100365-72-8,2.919078092,CC1=NN(C=C1)C(=O)N
44,1003859-14-0,3.301029996,C1=CC(=NC=C1CNCC(F)F)Cl
45,10040-45-6,4.053078443,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)[O-])C3=CC=C(C=C3)OS(=O)(=O)[O-].[Na+].[Na+]
46,10042-77-0,3.872738827,C(COS(=O)(=O)N)N
47,10043-35-3,3.301029996,B(O)(O)O
48,10048-13-2,2.155336037,COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=CC=CC(=C5C2=O)O
49,100482-70-0,1.477121255,C(CCCl)C[N+](CCCl)(CCCl)[O-].Cl
50,10049-04-4,3.698970004,O=Cl[O]
51,10049-60-2,3.662757832,CCC(C)N.Cl
52,10049-83-9,3.77815125,CC1=NC=C(C(=C1O)CO)CSSCC2=CN=C(C(=C2CO)O)C.Cl.Cl
53,100537-30-2,3.0,C1=CC=C(C=C1)OC2=NN=CC3=CC=CC=C32
54,100596-38-1,4.0,COC(=O)C1=CC(=C(C=C1)OC2=CC(=CC(=C2)C(=O)OC)C(=O)OC)N
55,10061-01-5,2.014240439,C(/C=C\Cl)Cl
56,100678-32-8,2.555094449,C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4.C(CC(=O)O)C(=O)O
57,100706-81-8,3.698970004,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)N3CCOCC3
58,100751-82-4,2.991226076,CC1=C(C(=CC=C1)C)N/N=C(/N)\N(C)C.Cl
