smiles,LogLD
CC(N)=O,3.593041647378344
CC(=O)NC1=CC=C(O)C=C1,3.508438991868913
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,3.614245658881747
CC(=O)C1C(=O)OC(C)=CC1=O,2.541455169047348
CC(=O)NC1=CC=C(CC(O)=O)C=C1,3.338009549837034
OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,3.2574207872227605
C=CC=O,1.930897680473035
NC(=O)C=C,2.226939955628176
C=CC#N,2.3573998552388247
[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,1.8242322480173536
NC(=O)C(=C/C1=CC=C(O1)[N+]([O-])=O)\\C1=CC=CO1,3.052368617059426
[H][C@]12OC=C[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCC1=O,1.9320833611689454
OCC=C,2.0147272769718945
C=CCN=C=S,2.1592318240965813
Cl.CCN1C2=CC=CC=C2C2=C1C=CC(N)=C2,2.88467981706737
Nc1cc(ccc1O)[N+](=O)[O-],2.9467839931229456
NC1=CC(=C(O)C=C1)[N+]([O-])=O,3.0633700170370197
O[Mg]O.NC1=NC(=O)C(O1)C1=CC=CC=C1,2.8764536318935825
NC1=CC=C(C=C1)C1=CC=CC=C1,2.6762310604662227
CC(N)Cc1ccccc1.CC(N)Cc2ccccc2.OS(=O)(=O)O,2.242910521237737
O.O.O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O,3.951210629048947
CCCCCN(N=O)C(=O)N,2.4906305792624837
COc1ccc(\C=C\C)cc1,3.357267780166331
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,3.1124220522065347
NC1=CC=CC=C1,2.648845578854863
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,3.408609960752073
CC(=O)OC1=C(C=CC=C1)C(O)=O,3.2261253061234956
CCNC1=NC(NC(C)C)=NC(Cl)=N1,3.225424369601031
CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,2.3264243598299426
N[C@@H](COC(=O)C=[N+]=[N-])C(O)=O,2.2203087894237195
CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,3.0714617324209366
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,3.2662603575219427
[Na+].CCC1(CC)C(=O)NC([O-])=NC1=O,2.8064414582956942
[Na+].[O-]C(=O)C1=CC=CC=C1,3.513102062206447
S(SC1=NC2=C(S1)C=CC=C2)C1=NC2=C(S1)C=CC=C2,3.605546030725634
N1N=NC2=C1C=CC=C2,2.835738773728971
Cl.CCO.CC1=C(C(C2=CC(=CC=C2)[N+]([O-])=O)C(=C(C)N1)P1(=O)OCC(C)(C)CO1)C(=O)OCCN(CC1=CC=CC=C1)C1=CC=CC=C1,2.99953949178945
ClCC1=CC=CC=C1,3.369671772412416
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,3.0943551062628245
CC1=C(C=CC=C1COC(=O)[C@@H]1[C@H](\\C=C(/Cl)C(F)(F)F)C1(C)C)C1=CC=CC=C1,1.8940729337012732
c1ccc(cc1)c2ccccc2,3.445694128336067
OCC(CO)(CBr)CBr,3.119430241657005
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,2.574108869448307
ClCCOCCCl,1.9168316188591628
ClCOCCl,2.644586249355191
[Mg++].[O-]P(=O)(OCC(Br)CBr)OCC(Br)CBr.[O-]P(=O)(OCC(Br)CBr)OCC(Br)CBr,2.810193153550252
CC(O)CNCC(C)O,3.430876471844401
[Bi+3].CN(C)C([S-])=S.CN(C)C([S-])=S.CN(C)C([S-])=S,3.367300285938236
Cl[Bi]=O,4.063402800513476
[Na+].[Na+].NC1=CC(N)=C(C=C1)N=NC1=CC=C(C=C1)C1=CC=C(C=C1)N=NC1=C(C=C2C=C(C(N=NC3=CC=CC=C3)=C(O)C2=C1N)S([O-])(=O)=O)S([O-])(=O)=O,3.9227648993311206
[Na+].[Na+].[Na+].[Na+].NC1=CC(=CC2=CC(=C(N=NC3=CC=C(C=C3)C3=CC=C(C=C3)N=NC3=C(C=C4C=C(C=C(N)C4=C3O)S([O-])(=O)=O)S([O-])(=O)=O)C(O)=C12)S([O-])(=O)=O)S([O-])(=O)=O,3.9843440453125267
[Na+].[Na+].[O-]S(=O)(=O)C1=CC=C2NC(C(=O)C2=C1)=C1NC2=CC=C(C=C2C1=O)S([O-])(=O)=O,3.7637487972633186
CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,3.2626754971176046
C=CC=C,3.122353016119534
CC(C)(C)O,3.7436834855218466
CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,3.7120843795047347
CCCCN(N=O)C(=O)N,2.5179891431502215
CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,3.658067312675212
CC(C)(C)C1=CC(O)=CC=C1O,3.452331448592579
CC(C)(C)C1=CC=C(O)C=C1,3.5802878998404717
CCCCNC(N)=O,3.2910386224456536
CC1CC(=O)O1,3.694218265796377
O=C1CCCO1,3.715502880371816
[Cd++].CC([O-])=O.CC([O-])=O,2.775789450883243
[Cl-].[Cl-].[Cd++],1.8726267127182137
[Cd++].[O-]S([O-])(=O)=O,2.231819318380615
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.8408470872310296
[H][C@@]1(CC[C@@]2([H])\\C(CCC[C@]12C)=C\\C=C1\\C[C@@H](O)CCC1=C)[C@H](C)\\C=C\\[C@H](C)C(C)C,1.1354716426259674
[Cl-].[Cl-].[Ca++],3.2599220341360007
[Ca++].CCCC(CCC)C([O-])=O.CCCC(CCC)C([O-])=O,3.47330520848983
O=C1CCCCCN1,3.239646208784602
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,3.188303928132973
CNC(=O)OC1=C2C=CC=CC2=CC=C1,2.465079555525863
ClC(Cl)(Cl)Cl,3.1860400375038664
CCC(Br)(CC)C(=O)NC(N)=O,2.6926603281021197
CC(=C)[C@H]1CC=C(C)C(=O)C1,3.365145967455473
OC1=C(O)C=CC=C1,2.5782242291529545
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,3.454295892054624
NC1=C(Cl)C(=CC(Cl)=C1)C(O)=O,3.5651905591944404
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,1.746139128626644
ClC1CC2C(C1Cl)[C@@]3(Cl)C(=C(Cl)[C@]2(Cl)C3(Cl)Cl)Cl,2.83803283422303
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,3.694752217369791
[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,2.560013013216559
[O-][N+](=O)C1=C(Cl)C=CC=C1,3.0403921875864435
Cc1ccc(Cl)cc1N,3.0319965220705467
CC1=C(C)C(NC2=CC(Cl)=NC(SCC(=O)NCCO)=N2)=CC=C1,3.404872649968781
ClCC(=O)C1=CC=CC=C1,2.4826991569214196
CC(=O)NC1=CC=C(C=C1)C(=O)CCl,3.0406828539719144
NC1=CC=C(Cl)C=C1,2.6886974437928974
ClC1=CC=CC=C1,3.1677354475865975
[Cl-].C[N+](C)(C)CCCl,2.3794429692382657
ClC(Cl)Cl,3.1327240823121105
Cl.ClCC1=CC=CN=C1,3.055087826237062
CN(C)C(=O)NC1=CC=C(Cl)C=C1,3.318260321216349
[O-][N+](=O)C(Cl)(Cl)Cl,2.1850841962521184
CC=CCl,3.17843885760661
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,3.57592767891016
OC(=O)\\C=C/C([O-])=O.C[NH+](C)CCC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1,2.747991260028892
CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,3.4758520354146314
NC1=C(C=CC=C1)C(=O)OCC=CC1=CC=CC=C1,3.590299191644318
CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,3.2975202902148255
OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,3.2164371020525317
O.O.O.O.O.O.O.[Co++].[O-]S([O-])(=O)=O,2.7508998001189853
