,cas,smiles,LogLD
0,60-35-5,CC(N)=O,3.84509804001425
1,103-90-2,CC(=O)NC1=CC=C(O)C=C1,3.28869626059025
2,968-81-0,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,3.30102999566398
3,520-45-6,CC(=O)C1C(=O)OC(C)=CC1=O,2.69897000433601
4,18699-02-0,CC(=O)NC1=CC=C(CC(O)=O)C=C1,4.17026171539495
5,50594-66-6,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,3.1367205671564
6,107-02-8,C=CC=O,1.41497334797081
7,1979-06-01 00:00:00,NC(=O)C=C,2.09342168516223
8,107-13-1,C=CC#N,1.89209460269048
9,50-76-0,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,0.857332496431268
10,3688-53-7,NC(=O)C(=C/C1=CC=C(O1)[N+]([O-])=O)\\C1=CC=CO1,3.19145101446489
11,1162-65-8,[H][C@]12OC=C[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC(=O)C1=C2CCC1=O,0.681241237375587
12,309-00-2,ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H]4C[C@H](C=C4)[C@H]3[C@]1(Cl)C2(Cl)Cl,1.59106460702649
13,107-18-6,OCC=C,1.80617997398388
14,1957-06-07 00:00:00,C=CCN=C=S,2.04921802267018
15,6109-97-3,Cl.CCN1C2=CC=CC=C2C2=C1C=CC(N)=C2,2.36921585741014
16,99-57-0,Nc1cc(ccc1O)[N+](=O)[O-],3.3802112417116
17,119-34-6,NC1=CC(=C(O)C=C1)[N+]([O-])=O,3.16731733474817
18,18968-99-5,O[Mg]O.NC1=NC(=O)C(O1)C1=CC=CC=C1,2.68574173860226
19,92-67-1,NC1=CC=C(C=C1)C1=CC=CC=C1,2.69897000433601
20,61-82-5,NC1=NNC=N1,3.04139268515822
21,60-13-9,CC(N)Cc1ccccc1.CC(N)Cc2ccccc2.OS(=O)(=O)O,1.74036268949424
