,TRUE,GAT,DNN
0,3.257438567,2.4023616,2.597723
1,2.941449315,2.9339685,3.1565917
2,2.874481818,2.8824878,3.0831082
3,3.02680555,2.9838705,2.4976532
4,3.10720997,3.1894116,3.170759
5,3.237543738,3.1246188,1.5463504
6,3.749736316,3.885238,3.54231
7,2.86332286,3.0254178,3.411052
8,2.836956737,2.9920623,3.3947127
9,2.866287339,2.4136674,2.5421991
10,2.014240439,1.6990101,2.2657905
11,3.733197265,3.5000436,3.5483143
12,2.698970004,3.5466115,3.102007
13,3.903089987,3.3271592,3.1823065
14,2.830588669,3.0387938,2.9998507
15,3.392696953,3.5613286,3.4332755
16,2.860338007,3.1469798,2.5589478
17,3.352182518,3.2693071,3.0732634
18,3.290034611,3.0338633,3.2559621
19,3.595496222,3.470001,3.1753592
20,3.357934847,3.5811853,3.20087
21,3.653212514,3.5160823,2.380207
22,3.120573931,3.049176,2.3723986
23,3.413299764,3.3574576,2.7913427
24,2.487138375,3.1918306,2.2503061
25,3.06069784,2.8564882,2.5286305
26,3.079181246,3.0927129,2.760918
27,2.607455023,3.1845436,2.187052
28,3.301029996,3.123824,3.420249
29,4.176091259,3.2844276,3.2726684
30,3.712649702,3.3276515,2.9363308
31,2.763427994,3.2790766,2.8834808
32,1.544068044,2.283327,1.9231662
33,3,2.790387,2.4383256
34,3.176091259,2.8802629,2.4429147
35,3.523746467,3.4099798,3.0377464
36,4.301029996,3.5574281,3.6601238
37,2.924106913,2.7141924,2.6479208
38,1.224014811,1.8884759,1.1031687
39,4.029383778,3.4384,2.9327214
40,3.698970004,3.521649,3.256309
41,3.342422681,3.1495829,3.7051914
42,3.685741739,3.298305,4.0966454
43,3.45484486,3.497424,3.5921705
44,3.51851394,3.2311172,3.3927174
45,3.781036939,3.329423,3.1976492
46,0.477121255,1.9463046,1.587659
47,3.698970004,3.2108102,3.0806758
48,3.301029996,3.1004505,3.0736208
49,3.376576957,3.3761885,3.4037113
50,3.204119983,3.0641055,2.6220646
51,3.468199586,3.176375,2.4633682
52,3.209515015,3.3864455,3.6635497
53,3.495405563,2.8508575,3.195838
54,3.462397998,3.07859,3.0514975
55,3.698970004,3.5597324,3.3146043
56,2.73239376,2.855931,2.1837556
57,3.687291089,3.3515906,2.9907672
58,3.06069784,3.6102576,3.5649142
59,3.301029996,3.5048242,2.992293
60,3.255272505,2.7744086,2.7616775
61,-0.255707017,3.2420826,1.1212522
62,2.127104798,2.9950342,4.16153
63,3.008600172,3.0745442,2.6302009
64,3.698970004,3.6701138,3.6568396
65,3.941113727,3.3497937,3.413669
66,3.301029996,3.0420763,3.2634618
67,3.698970004,3.5071929,3.4078476
68,4,3.7866786,3.0755224
69,1.939519253,3.221678,3.4346395
70,2.69019608,3.270875,2.3682392
71,1.954242509,2.2419853,2.1027215
72,3.301029996,2.6827505,2.3148162
73,4,3.7676828,4.1380496
74,4.027757205,3.7242837,3.3531573
75,3.776882707,3.0242116,3.7096863
76,2.255272505,2.57312,3.288895
77,3.301029996,3.8824382,3.5421822
78,2.228314792,2.291888,2.1347115
79,3,2.9014423,3.1940703
80,3.408239965,3.2467725,3.4402287
81,3.691965103,3.253632,3.5360146
82,2.992553518,2.8069038,2.3107738
83,2.235528447,2.8426046,2.7417953
84,3.698970004,3.3052828,3.7010407
85,3.245512668,3.2027369,2.4333584
86,1.079181246,0.8745404,2.408974
87,1.91204483,1.9062135,2.4293103
88,4.048325251,2.819708,2.538752
89,4.084576278,3.6109924,3.2445252
90,2.544068044,3.0000029,2.7064638
91,3.301029996,2.8212655,2.7218993
92,2.855519156,3.259163,3.0936725
93,2.937852093,3.3530054,3.2185566
94,3.24133476,3.220704,2.5448658
95,3.76458706,3.569234,3.2592852
96,2.667452953,2.8264709,2.714578
97,2.724685388,3.0465412,2.8457463
98,2.944482672,3.1896207,2.7489152
99,3.726808683,3.3708134,3.088434
100,3.477121255,3.528563,2.4626546
101,2.850339855,2.9920948,2.4381135
102,3.789580712,3.834326,3.5518687
103,3.377124042,3.0701323,2.9920251
104,3.222716471,3.398425,2.8648207
105,3.033423755,2.8774652,1.9548066
106,3.176091259,3.1553497,3.5837088
107,3.698970004,3.5690255,3.7620761
108,4.027376793,3.3248136,3.1946461
109,3.698970004,3.7385638,3.5179482
110,3.362623824,3.5534492,3.8688931
111,3.459904894,3.677062,3.6217542
112,3.807737922,3.4063582,3.3095176
113,3.217483944,3.4132657,2.8891778
