smiles,LogLD
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)n1,2.957682227
Cc1cc(O)cc(C)c1Cl,1.611626262
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,1.924011387
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,2.532970595
COC(=O)C=Cc1ccccc1,1.793378211
CC(C)NCC(O)c1ccc2ccccc2c1,2.406205105
COc1ccc2c(c1)OC(C)(C)C(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,2.116431258
N#CC1OC1C#N,2.575524985
CC(=O)OCC=C(C)CCC=C(C)C,1.491494465
CCC1(C2OC(C3OC(O)(CO)C(C)CC3C)CC2C)CCC(C2(C)CCC3(CC(O)C(C)C(C(C)C(OC)C(C)C(=O)O)O3)O2)O1,3.826645492
C[N+]1(CC[N+]2(C)CC3C4C=CC(CC4)C3C2)CCCC1,2.184927125
CC(=O)OCCCc1ccccc1,1.578885386
O=C(NNCS(=O)(=O)O)c1ccncc1,1.364006386
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,1.462881443
CCCOP(=S)(OCCC)OP(=S)(OCCC)OCCC,2.924776487
CCC(C)(O)CC,2.158094799
Fc1ccc(Br)cc1,1.811674285
C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,2.501247468
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,3.051405371
N#CCCCCC#N,2.553995486
CCC(C(=O)C(C)C(O)C(C)CCc1ccc(C)c(O)c1C(=O)O)C1OC(CC)(C2CCC(O)(CC)C(C)O2)CC1C,3.685079186
CC(=O)CCc1c(OC(=O)c2ccccc2)n(-c2ccccc2)n(-c2ccccc2)c1=O,2.264589774
O=NN1CCCCCC1,2.581464049
CN(C)C1CSSC1,2.550763973
COc1c2ccoc2cc2oc(COC3OC(CO)C(O)C(O)C3O)cc(=O)c12,2.444020336
CCOP(=S)(CC)Sc1ccc(C)cc1,3.752823103
CCCC(CCC)C(=O)O,2.33293262
CC(=O)OC1CCC(N2CCCCC2)CC1,2.06278826
CNN,3.151563131
